node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AL,0.9237716619717925,0.912361464288801,72347.953568049,82272.71664992673,0.00869915038710236,0.00988322736624774
AZ,0.9281228633969457,0.8237520560228851,86040.04986141087,49127.415452854075,0.010345494186704234,0.005901560524646926
AR,0.8194168327768604,0.803092519966355,113942.74470739112,111213.08119631463,0.013700526730123744,0.013359765087629781
CO,0.9196412194643065,0.9543474635629533,122281.43271695184,118516.63295357072,0.014703174316528062,0.014237123530833498
GA,0.971603037060884,0.9682336780284687,375777.1023791296,294914.0490625474,0.045183607336604335,0.035427328998847304
IL,0.9620675941489283,0.9527354249658243,583182.3861826784,505235.1753941798,0.07012211168821224,0.060692709748404565
IN,0.941584058939668,0.9689563998779046,164911.01496515138,265462.6685419219,0.01982897440661121,0.031889404133988955
KY,0.945392422204149,0.9621332355621197,87503.10267171243,138063.40929663306,0.010521412312834988,0.01658523166123215
LA,0.9468561437230104,0.8825074022279964,314855.1980220295,65474.935617034025,0.03785833023152903,0.007865349557460563
ME,0.8685623755256096,0.8939046052914292,16549.083096895247,25213.655634594255,0.0019898691742971943,0.0030288569712762776
MI,0.9506695689185839,0.9502826178894753,106263.0461844027,170619.62790866182,0.012777116335160092,0.02049613340156302
MS,0.9298031267147533,0.8584833245296262,46740.173642909904,32142.510180533238,0.005620059443098301,0.0038612039224114473
MO,0.9518273444900043,0.9530870661232783,174729.34309530113,237101.45551381158,0.021009534584775117,0.02848243851825404
NJ,0.9562331686237001,0.9556820629463102,256305.81356192453,341005.45205296035,0.030818325983009938,0.04096418050846629
NY,0.9534485051661493,0.9517305225813001,361038.5858218829,310187.1386600395,0.0434114414951242,0.037262049222313055
NC,0.9622760936194477,0.957620264029569,195555.68482581532,172500.06188420547,0.023513703255648753,0.020722025499019744
OH,0.95273802236264,0.9608834756272414,323511.2684517573,387578.314754576,0.038899140022489134,0.04655886863740772
OR,0.9337474939191358,0.9228282525740827,84292.19862706515,56947.52995644711,0.010135331770326354,0.00684097243197417
SC,0.9406656381871541,0.880582968887668,64745.762213062604,48399.932421353726,0.007785059488783403,0.005814169704236822
TN,0.9488035670175814,0.9547999436363644,95537.28644556843,212407.7563375304,0.011487446173359506,0.025516042689715066
TX,0.9449701480064384,0.9111868063109236,809277.0489543879,591682.0955784208,0.09730783534966084,0.07107737433810224
UT,0.5059163968316591,0.9005076805168462,33269.59487840884,50139.479830181015,0.004000351010523457,0.006023137430791437
VA,0.9625614244498512,0.943436644988803,136677.94420532373,95256.43091192354,0.016434217315127852,0.011442930331396177
WA,0.8969716098194049,0.9082018871056701,242162.58220098764,133254.8814701006,0.029117737500536152,0.016007594556956568
WI,0.9573256784240781,0.9667007424715552,178999.54032113688,259591.16501601512,0.02152298501451247,0.031184074266553324
AK,0.7770750115872941,0.13285408436139023,63610.14376221892,2034.738786699315,0.007648512216897329,0.00024442837040911423
MN,0.9262278664862826,0.9595595084875793,176867.96949704993,305657.1734615584,0.021266683982555136,0.036717875189403955
CA,0.9396248687925356,0.9529554189874359,1147313.718988288,1062198.8264955482,0.13795351617343557,0.12759943925379527
NM,0.8886309898671139,0.903990514920662,36123.84855806861,29117.38647298021,0.004343547753178333,0.0034978029478211726
FL,0.9389590297343748,0.9078218512249414,386791.060066059,218750.93016412572,0.046507930548948716,0.02627803319768171
IA,0.8762721085020674,0.9541054752045375,169216.06049164504,437643.50421534275,0.020346615011650103,0.05257308174137563
OK,0.9399868551780666,0.9012369229540231,72965.25430808842,67065.18582936004,0.008773374904961342,0.008056382563998044
PA,0.9736878923568477,0.9678497495020246,537575.5944517911,382728.72768399236,0.06463833059456901,0.045976299183004804
CT,0.9277404865415674,0.8041597323192019,56299.19243350428,17228.751232656632,0.006769440149966583,0.0020696492422074184
DC,0.8268549295103587,0.32994002619500384,3855.568908544355,54.50842766927504,0.0004635953348938371,6.547968828164304e-06
HI,0.6085326554381465,0.0,4136.854923622924,0.0,0.0004974172915115272,0.0
KS,0.8066779490415228,0.890819861147052,122477.95755342288,207194.7478674477,0.014726804551012223,0.024889816279917182
MD,0.9526411423209111,0.9092993649283833,118765.18971382592,72976.26834622034,0.014280379680698894,0.008766466962248363
MT,0.8888572173126662,0.7875560880268204,24946.87838442525,6035.664054378142,0.002999623846315805,0.0007250500844590862
NE,0.7715560394118214,0.9311172240210108,86371.35246133189,338646.8824458155,0.010385330159917217,0.040680851105528014
NV,0.8859026780812909,0.8950512004777387,25675.163175943573,32193.8942602943,0.0030871931363040616,0.00386737657069587
NH,0.9376174106671544,0.727465469001583,17242.188201784822,4717.2518331208385,0.002073208442986137,0.0005666723345110751
ID,0.8595143625842225,0.8618053991249379,29999.860911564123,81822.3328528748,0.0036071967317829368,0.009829123823182807
MA,0.9693245082234909,0.9424923224020412,125694.27928470062,52441.77678925356,0.01511353651859129,0.006299706933266411
ND,0.7950298221448071,0.7202041563121866,28865.728284086636,97465.1434979172,0.003470828115964848,0.011708257763902781
SD,0.8273069548902727,0.8982702451019245,13000.98545663953,107630.51137363908,0.0015632443226118442,0.012929399426269408
WY,0.7707412297506677,0.7918850274752632,1840.2014747499275,2176.1874387477837,0.0002212666507057479,0.0002614202632961899
RI,0.79120251204445,0.8363287741147831,3965.943970453959,5578.777926174339,0.0004768668818441494,0.0006701654316921616
DE,0.9182182325510897,0.9029839686814863,10025.620165613978,5924.236117482144,0.0012054850654844027,0.0007116645092631074
WV,0.8532325240002272,0.6798591556702589,5141.539710373961,3436.244545461622,0.0006182210408996914,0.00041278795099634126
VT,0.6881292326980533,0.9118593984308239,1404.8132861974907,29451.571964147894,0.00016891537963042614,0.003537947862517074
