COMM_TTL,VAL,TON,AVGMILE,Origin,Destination
8,498,323,25,"Albany-Schenectady, NY CFS Area","Albany-Schenectady, NY CFS Area"
6,68,103,37,"Albany-Schenectady, NY CFS Area","Albany-Schenectady, NY CFS Area"
4,5,9,164,"Albany-Schenectady, NY CFS Area","Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (MA Part)"
7,3,1,437,"Albany-Schenectady, NY CFS Area","Cleveland-Akron-Canton, OH CFS Area"
7,14,37,120,"Albany-Schenectady, NY CFS Area","Hartford-West Hartford-East Hartford, CT CFS Area"
7,3,1,1242,"Albany-Schenectady, NY CFS Area","Kansas City-Overland Park-Kansas City, MO-KS CFS Area (KS Part)"
6,26,53,104,"Albany-Schenectady, NY CFS Area","New York-Newark, NY-NJ-CT-PA CFS Area (CT Part)"
7,98,103,186,"Albany-Schenectady, NY CFS Area","New York-Newark, NY-NJ-CT-PA CFS Area (NJ Part)"
7,1,1,314,"Albany-Schenectady, NY CFS Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (NJ Part)"
7,25,47,263,"Albany-Schenectady, NY CFS Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (PA Part)"
7,3,1,1151,"Albany-Schenectady, NY CFS Area",Remainder of Alabama
7,3,1,1365,"Albany-Schenectady, NY CFS Area",Remainder of Arkansas
4,4,9,173,"Albany-Schenectady, NY CFS Area",Remainder of Connecticut
7,30,11,182,"Albany-Schenectady, NY CFS Area",Remainder of Connecticut
4,6,13,74,"Albany-Schenectady, NY CFS Area",Remainder of Massachusetts
3,16,1,136,"Albany-Schenectady, NY CFS Area",Remainder of New York
8,14,9,87,"Albany-Schenectady, NY CFS Area",Remainder of New York
7,2,1,109,"Albany-Schenectady, NY CFS Area",Remainder of Vermont
4,1352,1255,40,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area"
5,1984,815,34,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area"
7,3061,3653,19,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area"
8,34,49,158,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Birmingham-Hoover-Talladega, AL CFS Area"
7,233,129,177,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Birmingham-Hoover-Talladega, AL CFS Area"
5,79,39,1086,"Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area","Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (MA Part)"
