node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AL,0.9229217348440849,0.9236178832271946,37719.65065398497,40899.87358956051,0.00889298542157496,0.009666909797897924
AR,0.7649826905420313,0.7728935018739712,92790.75073380208,103093.36324660979,0.021876840830325116,0.02436668272542724
CO,0.9147000348240971,0.9244386934376201,44249.301530173565,64329.91708670519,0.01043245063514752,0.015204729286551172
GA,0.953046017946613,0.9438468277161999,188652.58664161802,172858.68779376315,0.04447773703251606,0.04085610042354322
IL,0.9407956195403381,0.9320378583105517,321060.96813919354,309414.72707605816,0.07569504116806947,0.07313187045030178
IN,0.8947888989144296,0.9506423380287834,82853.33549959735,140179.31727397247,0.019533942970093126,0.03313215168382058
KY,0.950070149230932,0.9285184304828203,40509.05279698194,76749.38251528562,0.009550629704130405,0.01814013816436352
LA,0.9250741696691925,0.7793709783311265,128397.25658650417,5543.953580508294,0.03027161999638959,0.0013103438833167013
MI,0.9425257084260064,0.9218745247464035,54185.78373582379,114983.64201823786,0.012775128519605895,0.027177015429891333
MS,0.9458095423940119,0.8578392660250866,22447.649788202467,32089.699985400955,0.005292377284889164,0.007584576869686377
NJ,0.9405907810566433,0.8983871464521274,136978.74381610102,101279.16993301769,0.032294837059779175,0.02393788816986361
NY,0.9605246474476965,0.9108738677835113,227305.34413657832,103584.82411239068,0.05359071668494132,0.02448284220079328
NC,0.9510982436696198,0.9380521585738626,105268.72333232353,104838.47042076715,0.024818714004798428,0.024779148392425038
OH,0.9677434637009129,0.950633685274343,153343.39116873188,143532.14693977762,0.03615305334261706,0.03392461139341067
OR,0.9435390280760267,0.8765365056759553,33786.44278857525,23573.959122867673,0.00796567141943912,0.005571834737363632
SC,0.9296558474308785,0.9476191701547038,25674.249709051306,32512.258535451525,0.006053097640456195,0.007684450904228919
TN,0.8620071986073874,0.9183069941184061,42028.48345458901,81498.99863003676,0.009908858755908917,0.019262736024119768
UT,0.861601645123147,0.8453788145622059,9164.32589358568,33589.17836523424,0.002160630206197557,0.00793898682183465
AZ,0.903380794344984,0.7905100283000737,54956.947325515786,15567.628902726736,0.012956942148361118,0.003679494608712435
CA,0.9169388820476295,0.9011899352021862,676453.0467502236,429235.64481907745,0.15948416750498626,0.10145220257031998
TX,0.9615355224409995,0.9247990648938916,443277.61453703087,308054.45726422453,0.10450948763948514,0.07281036320791374
FL,0.9327701579348103,0.8940993607330997,145801.59226441378,79679.10931718291,0.03437495872759004,0.018832595187840823
IA,0.7970012022326686,0.9307813530130804,111045.83916714175,277704.09189658094,0.026180757555229896,0.06563688762980968
MO,0.9281702327231739,0.9426271391955157,72996.93814234625,136503.29926453257,0.017210146315363935,0.032263304633844025
OK,0.9114036378564881,0.8680471829848377,38876.85824239579,47016.661050725066,0.009165814836350733,0.011112646115652304
PA,0.9523463386331046,0.9407841824825788,191475.86370023582,150188.15598163745,0.045143367845316355,0.03549779569386473
WA,0.8348719926189736,0.8352446979292527,138045.5510770231,33175.12658740356,0.03254635321262053,0.007841123409636473
WI,0.9327396899885434,0.9473499828995113,95417.47896260035,88280.7831302907,0.022496132245811082,0.02086564804508676
KS,0.7202511668712425,0.8512544082113667,85280.19633457152,155853.49327836273,0.020106112585967777,0.03683682928530568
MD,0.9578593960676387,0.9022973123062341,65432.0761540018,13504.211670496095,0.015426614225003327,0.0031917946109184772
NE,0.6514415569672782,0.9261600485284484,56110.83032460731,313381.39671366144,0.013228987740279665,0.07406941460922943
NV,0.7822511794759475,0.7710970212678496,9215.356803215176,7554.7184013946935,0.002172661524821047,0.001785599194454304
ID,0.7747431030557702,0.890237594743702,6793.4733039999,13772.091175011645,0.0016016653920931051,0.0032551094033514394
MA,0.953502469951809,0.9426218953447602,62301.97574638573,26394.39399108201,0.01468864510783562,0.006238460011942314
MN,0.8859624240495805,0.9420423934962391,104935.92099670733,202673.35136456092,0.02474025075639641,0.04790295993919563
SD,0.7134632201720483,0.8537536868896074,6466.78618878892,77322.4910521948,0.0015246439005729897,0.018275595515315345
VA,0.9445877354180774,0.9275651732631004,60096.36392337169,63269.114084534114,0.014168638335565979,0.014954002669685917
CT,0.945126063026934,0.6336274206957344,22852.566775379975,2065.405210217138,0.005387842667030428,0.0004881698673116124
RI,0.5344662920226941,0.7002468363791532,111.11031340525261,1251.0694494384102,2.619595834446431e-05,0.000295697136866307
DE,0.8823336638248032,0.8216360558319478,3320.3333192173277,2802.206299857535,0.0007828194400164674,0.0006623168523126767
DC,0.7801436451259366,0.32994002619500384,1443.9744811356372,54.50842766927504,0.0003404391023570853,1.2883366310418645e-05
NM,0.6491291838118993,0.8126728800132493,8147.470682984017,8766.994704940425,0.001920891014371883,0.0020721273581867446
WY,0.36327161749751546,0.33210698653459536,120.5239301793151,167.58213217304225,2.8415362694307806e-05,3.9608957516917715e-05
WV,0.6222931999965166,0.850434762493094,1244.486236683967,2391.508735540048,0.0002934066930180327,0.0005652462269040226
ND,0.6279363409900705,0.6907175495538417,16558.213662829974,84992.43156249597,0.0039038525054662333,0.02008842808815854
MT,0.8218703072521026,0.6689401156351676,5747.589988944859,1594.836989076421,0.0013550823799975162,0.00037694848327570455
ME,0.8884821201731368,0.8479651452255638,3502.6286216057592,1486.8768748815996,0.0008257983499070512,0.0003514315172291767
VT,0.3700493033409322,0.7254595991938124,418.78451631519334,1659.7813722987746,9.8734864554714e-05,0.00039229844500885894
NH,0.9072535004239254,0.0,6641.525567478693,0.0,0.0015658413857119206,0.0
