COMM_TTL,VAL,TON,AVGMILE,Origin,Destination
3,526,1303,54,AL,AL
4,627,1797,63,AL,AL
5,1617,589,66,AL,AL
5,124,63,1720,AL,AZ
4,32,21,2231,AL,CA
5,77,27,1367,AL,CO
5,3,1,1036,AL,CT
4,166,173,165,AL,GA
5,1280,637,222,AL,GA
4,25,19,726,AL,IL
5,269,97,731,AL,IL
4,32,33,586,AL,IN
5,27,25,514,AL,IN
3,4,3,966,AL,KS
4,19,83,678,AL,KS
4,35,51,245,AL,KY
5,129,39,218,AL,LA
5,81,31,760,AL,MD
6,1,1,1021,AL,MD
4,27,19,866,AL,MI
5,60,29,766,AL,MI
4,25,37,278,AL,MS
1,28,9,262,AL,MS
5,220,93,190,AL,MS
5,115,63,650,AL,MO
4,8,65,1240,AL,NE
1,45,17,1135,AL,NE
5,16,3,971,AL,NE
6,1,1,1117,AL,NE
4,1,1,2186,AL,NV
4,14,7,1116,AL,NY
3,3,3,739,AL,NC
5,137,39,465,AL,NC
4,13,15,601,AL,OH
5,56,33,715,AL,OK
6,2,1,2807,AL,OR
4,18,17,426,AL,TN
5,55,19,834,AL,WI
3,11,5,274,AK,AK
5,2068,767,344,AK,AK
5,8,1,3621,AK,MN
5,20,1,3871,AK,TX
3,700,501,42,AZ,AZ
6,1056,1081,61,AZ,AZ
3,816,893,451,AZ,CA
4,774,429,663,AZ,CA
2,5,19,278,AZ,CA
6,394,231,462,AZ,CA
5,13,3,2672,AZ,MA
3,45,61,2141,AZ,MI
5,12,5,1607,AZ,MN
5,81,13,282,AZ,NV
4,105,33,471,AZ,NM
3,20,21,1498,AZ,OR
3,84,83,1015,AZ,TX
4,52,19,698,AZ,UT
3,50,87,1602,AZ,WA
5,101,35,464,AR,AL
5,471,169,1239,AR,AZ
6,1,1,1396,AR,AZ
4,1135,3711,30,AR,AR
5,3985,1439,76,AR,AR
4,41,21,1479,AR,CA
6,99,129,1846,AR,CA
3,27,17,579,AR,GA
6,29,15,658,AR,GA
6,95,41,371,AR,IL
6,4,7,546,AR,IA
5,24,7,634,AR,KY
6,52,31,367,AR,LA
6,28,13,1467,AR,MA
6,70,61,812,AR,MI
6,48,45,707,AR,MN
3,5,3,213,AR,MS
6,82,57,103,AR,MS
5,223,75,207,AR,MO
5,42,15,1253,AR,MT
6,19,11,1459,AR,MT
5,35,13,1558,AR,NH
6,7,3,799,AR,NM
5,558,185,1245,AR,NY
4,105,55,830,AR,OH
6,7,23,708,AR,OH
5,48,17,2042,AR,OR
5,172,57,1074,AR,PA
4,29,15,904,AR,SC
5,187,69,174,AR,TN
5,1405,499,397,AR,TX
5,431,139,1010,AR,VA
3,1202,645,653,CA,AZ
5,577,117,546,CA,AZ
6,509,261,699,CA,AZ
2,2478,8189,52,CA,CA
5,25528,5815,38,CA,CA
5,238,37,1025,CA,CO
3,65,17,2850,CA,CT
5,16,1,2872,CA,CT
5,310,39,2592,CA,FL
6,163,71,2790,CA,FL
3,612,209,2257,CA,GA
5,631,73,2266,CA,GA
6,103,71,2530,CA,GA
3,831,225,2062,CA,IL
6,78,31,2185,CA,IN
5,26,1,1510,CA,KS
3,41,17,2247,CA,KY
5,32,7,1894,CA,LA
3,604,265,2600,CA,MD
3,184,89,2941,CA,MA
5,149,27,2979,CA,MA
3,306,71,1896,CA,MO
4,92,49,387,CA,NV
5,416,85,332,CA,NV
6,322,115,357,CA,NV
5,385,55,2860,CA,NJ
5,47,7,833,CA,NM
5,158,19,2780,CA,NY
6,127,79,2832,CA,NY
3,437,125,2304,CA,OH
5,115,15,2255,CA,OH
6,83,33,2318,CA,OH
3,127,41,1659,CA,OK
3,609,277,700,CA,OR
5,246,43,814,CA,OR
6,224,171,672,CA,OR
3,1135,263,2604,CA,PA
5,143,15,2637,CA,PA
6,112,47,2695,CA,PA
6,15,5,2675,CA,SC
3,146,39,2055,CA,TN
5,711,111,1450,CA,TX
6,719,279,1721,CA,TX
4,5,1,713,CA,UT
5,69,7,718,CA,UT
3,258,29,2534,CA,VA
3,1313,469,989,CA,WA
4,184,105,1074,CA,WA
3,265,89,2195,CA,WI
3,31,25,912,CO,AZ
4,31,25,869,CO,AZ
3,6,5,984,CO,AR
4,242,1187,60,CO,CO
4,7,1,1921,CO,FL
3,20,33,1486,CO,GA
5,87,11,1443,CO,GA
3,14,21,1198,CO,IN
4,22,25,748,CO,IA
3,4,7,1264,CO,LA
3,25,43,331,CO,NE
5,316,71,418,CO,NE
3,23,51,294,CO,NM
3,21,63,1469,CO,OH
3,6,11,662,CO,OK
3,10,7,1299,CO,OR
4,80,43,1218,CO,OR
3,15,23,1653,CO,SC
3,11,7,1375,CO,WA
4,86,37,1342,CO,WA
6,10,1,2943,CT,CA
6,11,3,327,CT,MD
1,286,49,210,CT,NY
6,5,5,1132,CT,TN
6,6,1,2274,CT,UT
5,31,9,2839,DE,CA
5,86,31,314,DE,CT
4,319,1151,19,DE,DE
5,291,143,11,DE,DE
5,47,27,958,DE,FL
3,26,39,631,DE,IN
3,1,1,1115,DE,IA
4,211,761,30,DE,MD
5,135,71,119,DE,MD
6,8,3,295,DE,MA
3,20,31,614,DE,MI
3,23,35,101,DE,NJ
3,149,247,329,DE,NY
5,148,69,263,DE,NY
3,25,41,401,DE,OH
5,551,205,176,DE,PA
5,10,5,675,DE,TN
5,129,47,1527,DE,TX
5,28,9,2182,DE,UT
3,24,35,202,DE,VA
3,25,1,3,DC,DC
6,7,3,3,DC,DC
6,9,5,460,FL,AL
3,31,5,1061,FL,AR
6,12,1,827,FL,AR
3,5027,3321,33,FL,FL
4,1782,3073,0,FL,FL
2,1596,8783,130,FL,FL
5,9331,1693,38,FL,FL
3,86,27,1343,FL,IL
3,50,7,1240,FL,IN
5,182,17,1134,FL,IN
3,42,13,1050,FL,KY
6,23,13,656,FL,LA
6,6,1,1207,FL,MA
3,77,67,1359,FL,MI
3,36,5,1767,FL,MN
3,45,9,1393,FL,MO
3,13,1,1660,FL,NE
5,5,1,2816,FL,NV
3,4,1,1577,FL,NH
3,144,43,1209,FL,NJ
6,11,1,1363,FL,NY
3,95,23,778,FL,NC
3,130,29,1219,FL,OH
5,34,3,1026,FL,OH
3,31,3,3161,FL,OR
5,182,15,1082,FL,PA
3,52,13,574,FL,SC
4,9,105,893,FL,TN
3,328,61,1321,FL,TX
3,3,1,2545,FL,UT
5,13,1,1336,FL,VT
4,177,285,191,GA,AL
5,900,355,181,GA,AL
5,169,67,711,GA,AR
5,321,133,2294,GA,CA
6,28,5,984,GA,CT
4,302,339,284,GA,FL
5,1823,577,377,GA,FL
3,3596,3765,42,GA,GA
2,296,1691,81,GA,GA
5,5917,2861,50,GA,GA
6,23,3,843,GA,KS
3,151,181,574,GA,KY
5,331,105,663,GA,MD
5,127,43,1082,GA,MA
5,182,63,739,GA,MI
4,1,5,1205,GA,NE
6,21,7,1090,GA,NE
3,19,11,1007,GA,NJ
5,188,53,827,GA,NJ
6,12,3,1008,GA,NY
4,89,73,315,GA,NC
5,1198,389,295,GA,NC
6,271,139,333,GA,NC
5,26,9,2791,GA,OR
3,18,3,900,GA,PA
4,21,19,787,GA,PA
5,299,93,713,GA,PA
4,172,367,173,GA,SC
6,252,119,122,GA,SC
3,2,3,1499,GA,SD
3,94,81,384,GA,TN
4,197,231,234,GA,TN
6,317,111,324,GA,TN
3,73,47,877,GA,TX
5,14,3,2048,GA,UT
4,1,11,1357,GA,VT
3,49,37,625,GA,VA
5,135,43,551,GA,VA
5,51,15,900,GA,WI
6,361,185,0,HI,HI
3,274,367,818,ID,CA
6,17,47,2420,ID,FL
3,714,989,35,ID,ID
2,1314,6743,26,ID,ID
5,41,11,82,ID,ID
3,29,63,1719,ID,KY
3,18,43,2579,ID,MA
2,1,5,704,ID,MT
3,26,47,2278,ID,NY
3,105,139,1825,ID,OH
2,4,21,1911,ID,OH
3,52,121,2179,ID,PA
3,20,55,2207,ID,SC
3,36,85,1822,ID,TN
3,229,459,1544,ID,TX
3,120,135,196,ID,UT
6,11,33,2159,ID,VA
5,190,47,569,IL,AR
6,20,31,477,IL,AR
5,878,143,1289,IL,FL
4,15,127,653,IL,GA
5,304,49,752,IL,GA
6,544,909,764,IL,GA
5,799,235,141,IL,IN
2,34,277,54,IL,IA
4,33,269,416,IL,KS
5,634,125,503,IL,KS
6,33,15,412,IL,KS
6,47,105,370,IL,KY
3,4895,14693,825,IL,LA
2,3229,23499,1141,IL,LA
6,20,11,854,IL,LA
4,7,7,784,IL,MD
5,237,39,1007,IL,MA
5,601,141,273,IL,MI
5,623,213,407,IL,MN
4,110,835,236,IL,MO
5,272,67,494,IL,NE
5,91,3,1793,IL,NV
6,38,19,807,IL,NJ
3,1,3,1353,IL,NM
4,53,551,1063,IL,NM
6,37,27,717,IL,NY
4,44,87,923,IL,NC
2,38,291,849,IL,NC
5,6,1,711,IL,ND
4,60,15,366,IL,OH
5,10,3,778,IL,OK
4,6,1,785,IL,PA
5,188,33,660,IL,PA
6,7,3,783,IL,SC
2,26,151,0,IL,TN
6,36,95,475,IL,TN
5,907,279,1075,IL,TX
5,137,25,763,IL,VA
2,7,61,2583,IL,WA
5,147,25,2050,IL,WA
6,37,21,2057,IL,WA
1,6,5,458,IL,WI
5,5,1,1014,IL,WY
4,99,353,665,IN,AL
6,24,45,1081,IN,CO
4,4,1,841,IN,CT
2,59,507,966,IN,FL
5,89,37,1142,IN,FL
4,181,461,715,IN,GA
4,366,1989,174,IN,IL
5,455,123,137,IN,IL
6,1037,567,137,IN,IL
4,2508,5857,21,IN,IN
6,1225,617,27,IN,IN
