COMM_TTL,VAL,TON,AVGMILE,Origin,Destination
3,652,681,53,AL,AL
6,116,23,0,AL,AL
7,2750,3629,60,AL,AL
7,13,3,1789,AL,AZ
5,334,101,594,AL,AR
6,5,1,511,AL,AR
5,35,11,1412,AL,CO
3,145,197,249,AL,GA
7,1497,613,152,AL,GA
5,406,183,736,AL,IL
5,43,17,666,AL,IN
7,33,13,527,AL,IN
6,3,1,347,AL,KY
6,7,1,404,AL,LA
7,7,1,1550,AL,ME
5,39,11,845,AL,MI
1,17,5,258,AL,MS
6,26,3,212,AL,MS
7,26,15,601,AL,MO
5,109,37,972,AL,NJ
5,19,9,1076,AL,NY
7,28,9,1089,AL,NY
5,228,69,427,AL,NC
7,112,41,549,AL,NC
6,2,1,822,AL,OH
5,5,3,2557,AL,OR
5,96,43,411,AL,SC
3,8,17,371,AL,TN
5,107,27,158,AL,TN
8,7,1,726,AL,TX
5,33,11,1832,AL,UT
7,4,1,2054,AL,UT
7,42,33,612,AL,VA
8,6,1,2512,AL,WA
7,8,5,2688,AL,WA
7,3,1,865,AL,WI
8,303,97,0,AK,AK
5,1106,255,168,AK,AK
8,3,3,2498,AK,CO
8,2,1,2174,AK,MN
8,14,13,961,AK,WA
3,386,327,576,AZ,CA
5,339,89,438,AZ,CA
5,7,1,913,AZ,CO
7,356,77,729,AZ,CO
3,7,11,1886,AZ,KY
3,24,37,2484,AZ,NJ
7,428,247,488,AZ,NM
3,48,57,2452,AZ,NY
5,5,1,2484,AZ,NY
3,7,7,2097,AZ,NC
6,10,3,1110,AZ,TX
7,711,489,1027,AZ,TX
5,247,67,1245,AR,AZ
8,721,303,46,AR,AR
5,10202,2931,73,AR,AR
6,16,5,1563,AR,CA
5,224,59,1211,AR,FL
6,9,3,678,AR,IN
5,115,79,646,AR,IA
5,160,39,396,AR,MS
3,585,819,0,AR,MO
4,6,1,164,AR,MO
5,255,89,1238,AR,NY
5,533,223,186,AR,OK
6,47,15,1148,AR,PA
5,2,1,850,AR,SC
7,14,57,264,AR,TN
5,70,43,2300,AR,WA
5,71,27,744,AR,WI
8,676,419,651,CA,AZ
6,493,269,553,CA,AZ
3,17173,8759,116,CA,CA
8,22323,9373,52,CA,CA
4,6969,16053,70,CA,CA
1,140,33,0,CA,CA
6,9240,7183,35,CA,CA
3,184,61,1121,CA,CO
5,231,57,1086,CA,CO
7,1203,593,1065,CA,CO
8,221,69,2999,CA,CT
7,103,35,3014,CA,CT
8,34,13,2821,CA,DC
8,662,375,2754,CA,FL
3,270,73,2528,CA,GA
8,230,121,2549,CA,GA
5,99,29,2454,CA,GA
7,1036,675,2309,CA,GA
3,31,13,2614,CA,HI
5,90,17,2562,CA,HI
