node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AL,0.9483241424959663,0.9561972630065008,67518.9438052879,80276.21796313536,0.01187342379061686,0.0144030631065081
AZ,0.9422086329519076,0.8732185184329503,145532.2550129664,58690.88739920217,0.02559231589813088,0.010530248888604389
CA,0.9636965166180982,0.9699704076958512,617286.3766981019,735633.3003226662,0.1085517980234891,0.1319864477504635
CO,0.9345061533250317,0.8678289051397157,50311.15611284664,20985.96940637279,0.008847378887418676,0.0037652775551788105
CT,0.9250001219559016,0.37899040300860165,24674.370899235506,1866.843836850708,0.004339067614836455,0.0003349468905536152
GA,0.964897656083769,0.9625779787789019,297003.995758666,216496.45912255993,0.05222910949731165,0.038843536008506714
IL,0.9591872696157402,0.7903488142916659,262342.90641081356,342721.44043146446,0.04613384526956677,0.061490671331259905
IN,0.9332502545255992,0.9356352282026104,108463.86221617076,134339.23747480608,0.019073719603398345,0.02410298546847782
KS,0.9204987461041166,0.9111237188074663,72974.14430838503,173646.5462773355,0.012832738373837365,0.031155455846315242
KY,0.9654441088335467,0.9594471835461289,38889.70658164442,71805.94785476361,0.006838880191435142,0.012883337364619366
LA,0.8529772250533877,0.857587587502922,326228.09386366827,12348.590426482624,0.05736826129891432,0.0022155693392372717
MD,0.9184563192477726,0.849742488312166,107846.50788225005,38137.46127218185,0.018965155854878325,0.0068425777317697375
MI,0.9625651983315804,0.9443373963676305,122757.80116358322,123860.23729175825,0.021587354817380174,0.022222855776781854
MS,0.9179076675686242,0.9270022598841392,13013.92514631802,63054.68235395352,0.002288540663301931,0.011313195765175086
MO,0.9492719884506182,0.9409857506708557,77513.5209706895,177300.58590199493,0.013631002384189904,0.031811059269633214
NE,0.9113742107547881,0.9621022467196947,111015.14242896494,252311.08771224445,0.01952237044815205,0.04526935387588882
NV,0.8921062520424502,0.7440157953383426,28395.34144720779,6633.516177129861,0.004993412273364994,0.0011901775462456292
NY,0.948056981239486,0.8675330507330343,270951.2365034521,152418.1056792284,0.0476476478493905,0.027346674399639413
NC,0.9684151759285494,0.9592288839831146,150651.0487195472,139179.19961296403,0.026492472262398772,0.024971365692132742
OH,0.9392042777409633,0.9441933497099135,191380.94812407406,213547.69091097408,0.03365495629019641,0.038314471539407785
OK,0.9209699052098341,0.8432220257576347,44135.99953470998,62404.602859573686,0.0077614577089554285,0.011196559279060365
OR,0.9268999198158044,0.8965047505528718,97377.84664116646,52178.2082564912,0.017124208049263276,0.009361751778688455
TN,0.9424329542394174,0.952976521863945,76391.77362079773,84000.80332744587,0.013433739498833228,0.015071323762140579
WI,0.9345809938044104,0.952282368464373,85780.1084549951,150756.88504565458,0.01508470842536294,0.027048620178522706
MN,0.9027096633208895,0.9545290204834963,101508.84008581765,222692.43031091455,0.01785065655512338,0.03995520975567999
TX,0.9559747032635715,0.9490404245199084,593360.1181623974,537851.4555311168,0.10434428837793636,0.0965006654835106
MA,0.9526681041535315,0.9016747460679511,73182.5851625324,38895.074597833,0.012869393369562818,0.006978507809401149
NM,0.8864084639655585,0.8226647403842464,11855.82687994381,7688.52551474954,0.00208488535217186,0.0013794660609919218
UT,0.9384949745269787,0.9296730565784136,32176.6600640916,41058.527346871786,0.005658369334232028,0.007366671916567527
WA,0.9341447447549369,0.9278562159354509,325359.7411402892,156417.89572624012,0.05721555867497889,0.028064311950605606
AR,0.9074695770794674,0.9392037517229335,67826.7998800959,145505.88527461354,0.011927561273176606,0.026106492073916496
IA,0.8689794021697219,0.9465100042712912,148298.69573203652,326181.8339873352,0.02607880341108522,0.05852315490589719
MT,0.8649053976269507,0.3862974410402571,9738.393391111824,8510.856304904195,0.0017125278515295354,0.0015270076687749546
NH,0.7928130146378264,0.7128854155250632,2961.8061951512914,727.1783102271106,0.0005208431613225498,0.0001304694635302165
PA,0.9645091005517802,0.9589426084740966,300078.4786751329,141885.96705002605,0.052769767223082596,0.025457010671428464
SC,0.9519256883735764,0.9571992380351291,42163.79323056098,47677.4196940876,0.007414638876610877,0.008554225672723698
VA,0.9539501870433885,0.9477497387618865,104308.73914392454,61494.24335573334,0.01834302782478842,0.011033223664651585
FL,0.9614027728272844,0.8722093103363635,351374.9744821191,142670.52168653256,0.061790421270136085,0.025597774526861912
NJ,0.9532790006276055,0.9173843396455695,82797.37606031915,67642.66675021978,0.01456018532443707,0.012136366443462937
DE,0.8731974973095711,0.9432425014179215,5664.189091404731,28307.73669704825,0.000996065899762643,0.005078940293839383
DC,0.6981085577719218,0.40863468338165043,1125.593668072788,22.64883306725888,0.0001979392728003019,4.063626566292662e-06
VT,0.7940121295996011,0.0,1822.8064542539976,0.0,0.0003205463874263738,0.0
SD,0.808773217915589,0.8224727480925714,5226.783742367734,87583.05966568679,0.0009191467599672096,0.015714047913981743
ID,0.8044747568026491,0.9142941211564148,19669.0473541257,40169.57021993792,0.003458865344024466,0.007207176291050038
ND,0.8631858530247923,0.7577973790074009,7055.511080935027,100593.71925075862,0.001240734353975098,0.01804840491055997
WY,0.4575235327134637,0.0,1725.5342732021059,0.0,0.0003034407610114021,0.0
ME,0.8648096953335532,0.0,5167.754935589942,0.0,0.0009087663541251344,0.0
WV,0.8557213928369191,0.8191344012002181,1752.8934134923434,2526.2000656632567,0.00030825195397303566,0.0004532477972756715
RI,0.8308528504663057,0.7775854621476219,1920.6361701323606,2853.8533269611794,0.000337750058136763,0.0005120349539114553
