node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
IL,0.9370593791545129,0.8663400015503561,305908.0841884148,195628.4027977618,0.19902486368462435,0.13130587058243473
IN,0.9206927253145842,0.9318265517129974,128208.49000093283,109633.72369811973,0.08341288957218586,0.07358620389217028
IA,0.9819472963321241,0.964459527697767,170602.7000160609,210481.87724949853,0.11099471007772496,0.1412755292115832
KS,0.9790929842880474,0.6544466375422691,112150.10819747389,71686.13879295181,0.07296525051122997,0.04811576810056886
MI,0.9333940581447763,0.8620504047623689,73635.07196737133,65212.45782465073,0.04790723396406599,0.04377063056808864
MN,0.938419559715787,0.9561299217070212,165108.28063214856,204886.00390454466,0.1074200217140275,0.1375195765445883
MO,0.9490506060082555,0.7568686847856327,123155.71318057383,87807.60281638577,0.08012553539660483,0.0589365018917084
NE,0.6381996414088413,0.7855800343219335,64012.50338636906,105657.1017208619,0.04164675737283488,0.0709170934601801
OH,0.9386823992936757,0.9514443852223186,228577.28056001614,214470.95633921813,0.1487131738461661,0.14395300086297375
SD,0.6812486227507488,0.9282768255557351,10500.242295441103,73525.7928378956,0.006831494162862784,0.04935054471013695
WI,0.8775795106902703,0.8857974197339783,134541.43635189062,118649.70312396594,0.08753312649748758,0.0796377332750887
ND,0.6320606345806368,0.9615554330838496,20634.601017561898,32228.14754142044,0.01342494320018496,0.021631546900477888
