node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AL,0.9505541387691903,0.9857682130319466,55654.960649952605,53388.56468426542,0.05289341331850738,0.051543907406318
GA,0.9751029756103035,0.9772244895353603,121870.81417811594,174908.11883096423,0.11582369784303467,0.16886477347636025
KY,0.9245917525070718,0.9182574979957328,16818.211943593553,38124.67634597174,0.015983707925081584,0.036807409959304614
LA,0.7238163203244985,0.38219000484650134,26920.367371564724,3352.2285497391636,0.02558460380604807,0.0032364038815131248
MD,0.9699014464466064,0.8636544457594112,57316.72093161761,33528.8438909502,0.054472718602131924,0.03237037060607405
MS,0.8581267280796541,0.7272060149749535,6945.086930541615,23624.4205049267,0.006600478183078443,0.022808160328624438
NC,0.9519537083124924,0.8988066512374405,80852.91423900703,80962.78902958501,0.0768410679103278,0.07816539975887549
OK,0.978430630914913,0.5957521427050589,17666.72514029258,18207.26649868152,0.01679011868694505,0.01757817735090341
TN,0.8236930749096428,0.9330766028762464,43617.64488091228,56154.67330298829,0.0414533779509183,0.054214442704699786
AR,0.9349140909292676,0.8920205128826215,52858.28966633415,79234.7276978829,0.05023551054533323,0.07649704561224412
SC,0.8615725245084591,0.9853067434204851,25747.004017933796,26136.483753223205,0.024469461649596947,0.02523342791607037
TX,0.8176992353086072,0.8689404960439548,293074.2507827382,311919.044068026,0.27853217931754043,0.30114175986543984
VA,0.8416679728124381,0.9802034830067228,47164.34452576195,34689.37386829256,0.04482409366144673,0.03349080248222861
DE,0.879594820031223,0.7136862363877741,3328.5542856654647,8434.136462586725,0.003163394520968769,0.008142724035582529
FL,0.9342160640276516,0.7323162068433078,201083.50751045987,92229.23019182526,0.19110593108100588,0.08904256799704671
DC,0.23306035816769477,0.40863468338165043,222.41550384436746,22.64883306725888,0.00021137945361738772,2.1866280942068516e-05
WV,0.7594792472591958,0.7137874854380515,1067.8513333866977,870.8495326770643,0.0010148655444173764,0.0008407603377726863
