node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AK,0.973898237125344,0.029568514557304137,40019.85470002407,1139.504568788862,0.06550428488225236,0.002028731355260973
AZ,0.8796243460459684,0.9046564332647679,67197.77491549264,55456.11935071355,0.10998895984285656,0.09873200270488207
CA,0.93760007962274,0.9401475623678472,287710.3548993899,305900.63700337743,0.4709227755115321,0.5446140637616397
NV,0.9573055913886646,0.7850211924329269,16189.355382923099,6999.113207032783,0.026498650607604094,0.012460959623198825
NM,0.6478267418369363,0.44431769484250794,4383.268242098303,1839.2840391964808,0.007174510097498281,0.0032745925762412147
OR,0.9027284262984814,0.8459673156124825,73261.39399051742,38274.00452691429,0.11991385922805206,0.0681416075037596
UT,0.7525063289053388,0.9177921241656382,4529.183728880071,21781.961508988126,0.007413343788588112,0.038779790360419106
WA,0.8220758264469559,0.8302874507241114,88371.17745213567,98687.12060807079,0.14464547226857596,0.17569886196315138
CO,0.9101727312906055,0.7649917075259108,13410.072478897484,8112.917945099914,0.02194953516282568,0.014443935960149085
HI,0.49995333926025476,0.0,365.9658443385065,0.0,0.0005990109435532042,0.0
ID,0.7424589131321624,0.9471586273887794,12801.579337560604,19575.812662547043,0.020953556832124656,0.0348520453897211
MT,0.7568103244283492,0.18216458960056936,2710.199950440817,3916.847427247248,0.004436040834536931,0.0069734088015772746
WY,0.0,0.0,0.0,0.0,0.0,0.0
